episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
419,456955,0.0,0.01,2.0,2.01
420,457814,0.0,0.01,-2.0,-1.99
421,458677,0.0,0.01,2.0,2.01
422,459754,0.0,0.01,-2.0,-1.99
423,460698,0.0,1.0,0.01,2.0,3.01
424,461557,0.0,0.01,-2.0,-1.99
425,462598,0.0,0.01,2.0,2.01
426,463682,0.3,0.01,-2.0,-1.69
427,464659,0.0,1.0,0.01,2.0,3.01
428,465589,0.0,0.01,-2.0,-1.99
429,466595,0.0,0.01,-2.0,-1.99
430,467492,0.0,0.01,-2.0,-1.99
431,468265,0.0,0.01,-2.0,-1.99
432,469221,0.0,0.01,-2.0,-1.99
433,470319,0.0,0.01,-2.0,-1.99
434,471224,0.0,0.01,2.0,2.01
435,472126,0.3,0.01,-2.0,-1.69
436,473104,0.0,1.0,0.01,2.0,3.01
437,474339,0.0,1.0,0.01,2.0,3.01
438,475292,0.0,0.01,2.0,2.01
439,476192,0.0,0.01,-2.0,-1.99
440,477128,0.0,0.01,-2.0,-1.99
441,478027,0.0,0.01,-2.0,-1.99
442,478827,0.0,0.01,-2.0,-1.99
443,480287,0.0,0.01,-2.0,-1.99
444,481203,0.0,1.0,0.01,2.0,3.01
445,482021,0.0,1.0,0.01,2.0,3.01
446,482990,0.0,1.0,0.01,2.0,3.01
447,484084,0.0,0.01,-2.0,-1.99
448,485069,-0.3,0.01,-2.0,-2.29
449,486026,0.0,1.0,0.01,2.0,3.01
450,487021,0.0,0.01,2.0,2.01
451,487942,0.0,0.01,2.0,2.01
452,489010,0.0,1.0,0.01,2.0,3.01
453,489753,0.0,0.01,-2.0,-1.99
454,490584,0.0,0.01,2.0,2.01
455,491406,0.0,1.0,0.01,2.0,3.01
456,492389,0.0,0.01,-2.0,-1.99
457,493358,0.3,0.01,2.0,2.31
458,494219,0.0,0.01,-2.0,-1.99
459,495065,0.0,0.01,-2.0,-1.99
460,496094,0.0,0.01,-2.0,-1.99
461,496856,0.0,0.01,-2.0,-1.99
462,497928,0.0,0.01,-2.0,-1.99
463,498771,0.0,0.01,-2.0,-1.99
464,500054,0.0,0.01,-2.0,-1.99
465,500770,0.0,0.01,-2.0,-1.99
466,501663,0.0,0.01,-2.0,-1.99
467,502476,0.0,0.01,-2.0,-1.99
468,503316,0.0,0.01,-2.0,-1.99
469,504237,0.0,1.0,0.01,2.0,3.01
470,505190,0.0,0.01,2.0,2.01
471,506334,0.0,0.01,2.0,2.01
472,507239,0.0,0.01,-2.0,-1.99
473,508124,0.0,0.01,-2.0,-1.99
474,509059,0.0,0.01,2.0,2.01
475,510059,0.0,1.0,0.01,2.0,3.01
476,510973,0.0,0.01,-2.0,-1.99
477,512024,0.0,0.01,-2.0,-1.99
478,512835,0.0,0.01,-2.0,-1.99
479,514151,0.0,0.01,-2.0,-1.99
480,515134,0.0,0.01,2.0,2.01
481,516086,0.0,0.01,-2.0,-1.99
482,516844,0.0,1.0,0.01,2.0,3.01
483,517773,0.0,0.01,2.0,2.01
484,518918,0.0,0.01,-2.0,-1.99
485,519770,0.0,0.01,-2.0,-1.99
486,521176,0.0,0.01,-2.0,-1.99
487,522222,0.0,1.0,0.01,2.0,3.01
488,523054,0.0,0.01,-2.0,-1.99
489,524038,0.0,0.01,2.0,2.01
490,525031,0.0,0.01,-2.0,-1.99
491,526070,0.0,0.01,-2.0,-1.99
492,527166,0.0,0.01,-2.0,-1.99
493,528180,0.0,1.0,0.01,2.0,3.01
494,529121,0.0,0.01,-2.0,-1.99
495,530286,0.0,0.01,-2.0,-1.99
496,531478,0.0,0.01,-2.0,-1.99
497,532450,0.0,0.01,-2.0,-1.99
498,533359,0.0,0.01,-2.0,-1.99
499,534668,0.0,1.0,0.01,2.0,3.01
500,535808,0.0,0.01,-2.0,-1.99
501,536969,0.0,1.0,0.01,2.0,3.01
502,538120,0.0,1.0,0.01,2.0,3.01
503,539234,0.0,0.01,-2.0,-1.99
504,540384,0.0,1.0,0.01,2.0,3.01
505,541397,0.0,0.01,-2.0,-1.99
506,542557,0.0,0.01,2.0,2.01
507,543456,0.0,0.01,2.0,2.01
508,544361,0.0,0.01,2.0,2.01
509,545531,0.0,1.0,0.01,2.0,3.01
510,546359,0.0,0.01,-2.0,-1.99
511,547375,0.0,1.0,0.01,2.0,3.01
512,548279,0.0,0.01,-2.0,-1.99
513,549122,0.3,0.01,-2.0,-1.69
514,549946,0.0,1.0,0.01,2.0,3.01
515,550723,0.0,0.01,-2.0,-1.99
516,551456,0.0,0.01,2.0,2.01
517,552390,0.0,1.0,0.01,2.0,3.01
518,553212,0.0,0.01,2.0,2.01
519,553991,0.0,0.01,-2.0,-1.99
520,554857,0.0,1.0,0.01,2.0,3.01
521,556639,0.0,0.01,-2.0,-1.99
522,557747,0.0,0.01,-2.0,-1.99
523,558496,0.0,1.0,0.01,2.0,3.01
524,559335,0.0,1.0,0.01,2.0,3.01
525,560406,0.0,0.01,2.0,2.01
526,561264,0.0,0.01,-2.0,-1.99
527,562676,0.3,0.01,-2.0,-1.69
528,563701,0.0,1.0,0.01,2.0,3.01
529,564592,0.0,1.0,0.01,2.0,3.01
530,565577,0.0,0.01,-2.0,-1.99
531,566599,0.0,0.01,-2.0,-1.99
532,567576,0.0,0.01,2.0,2.01
533,568464,0.0,0.01,2.0,2.01
534,569585,0.3,0.01,2.0,2.31
535,570569,0.3,0.01,-2.0,-1.69
536,571817,-0.3,0.01,-2.0,-2.29
537,572889,0.0,0.01,-2.0,-1.99
538,574056,0.0,0.01,-2.0,-1.99
539,574919,0.0,0.01,-2.0,-1.99
540,575986,0.0,1.0,0.01,2.0,3.01
541,576963,0.0,1.0,0.01,2.0,3.01
542,577933,-0.3,0.01,-2.0,-2.29
543,578901,0.0,0.01,-2.0,-1.99
544,579819,-0.3,0.01,2.0,1.71
545,580854,0.0,0.01,-2.0,-1.99
546,581855,0.3,0.01,-2.0,-1.69
547,583141,0.0,0.01,-2.0,-1.99
548,584355,0.0,0.01,-2.0,-1.99
549,585504,-0.3,0.01,2.0,1.71
550,586799,0.0,0.01,-2.0,-1.99
551,587989,0.0,0.01,-2.0,-1.99
552,588767,0.0,0.01,2.0,2.01
553,590633,0.0,0.01,-2.0,-1.99
554,591898,0.0,1.0,0.01,2.0,3.01
555,593152,0.0,0.01,-2.0,-1.99
556,594174,0.0,0.01,-2.0,-1.99
557,595467,0.0,0.01,-2.0,-1.99
558,596714,0.0,0.01,-2.0,-1.99
559,597921,0.0,0.01,-2.0,-1.99
560,599096,0.0,0.01,2.0,2.01
561,600486,0.0,0.01,-2.0,-1.99
562,602277,0.0,0.01,-2.0,-1.99
563,603411,0.0,0.01,-2.0,-1.99
564,604520,0.0,0.01,-2.0,-1.99
565,606045,0.0,0.01,-2.0,-1.99
566,607499,0.0,0.01,-2.0,-1.99
567,608500,0.0,0.01,-2.0,-1.99
568,609699,0.0,0.01,-2.0,-1.99
569,610963,0.0,0.01,-2.0,-1.99
570,612715,0.0,0.01,-2.0,-1.99
571,614159,0.0,0.01,2.0,2.01
572,615058,0.0,0.01,-2.0,-1.99
573,616848,0.0,0.01,-2.0,-1.99
574,618372,0.0,0.01,-2.0,-1.99
575,619487,0.0,0.01,-2.0,-1.99
576,621146,0.0,0.01,-2.0,-1.99
577,622438,0.0,0.01,-2.0,-1.99
578,624303,0.0,0.01,2.0,2.01
579,625704,0.0,0.01,2.0,2.01
580,627171,0.0,0.01,-2.0,-1.99
581,628291,0.0,0.01,-2.0,-1.99
582,629941,0.0,0.01,-2.0,-1.99
583,631566,0.0,0.01,2.0,2.01
584,632689,0.0,0.01,2.0,2.01
585,633962,0.0,0.01,-2.0,-1.99
586,634993,0.0,0.01,-2.0,-1.99
587,636352,0.0,0.01,-2.0,-1.99
588,637347,0.0,0.01,-2.0,-1.99
589,638372,0.0,0.01,-2.0,-1.99
590,639495,0.0,0.01,-2.0,-1.99
591,640657,0.0,0.01,-2.0,-1.99
592,642121,0.0,0.01,2.0,2.01
593,643513,0.0,0.01,-2.0,-1.99
594,645008,0.0,0.01,2.0,2.01
595,646156,0.0,0.01,-2.0,-1.99
596,647396,0.0,0.01,-2.0,-1.99
597,649049,0.0,0.01,2.0,2.01
598,650430,0.0,0.01,-2.0,-1.99
599,652372,0.0,1.0,0.01,2.0,3.01
600,653374,0.0,0.01,-2.0,-1.99
601,655546,0.0,0.01,2.0,2.01
602,657173,-0.3,0.01,2.0,1.71
603,658610,0.0,0.01,2.0,2.01
604,659767,0.0,0.01,-2.0,-1.99
605,661070,0.0,0.01,2.0,2.01
