episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
191,0.879,0.879,93,84,1158,-0.6378319131196933,-0.6718688857187824,900,1158,0.0001
192,0.878,0.878,93,85,1942,-0.5426104118428088,-0.5359346128088684,200,1942,0.0001
193,0.878,0.878,93,86,1107,-0.46163615980239514,-0.4765427212764245,50,1107,0.0001
194,0.877,0.877,93,87,1352,-0.6236571124674332,-0.6011284834116647,550,1352,0.0001
195,0.877,0.877,94,87,1499,-0.5114113020954613,-0.5203804559467832,900,1499,0.0001
196,0.876,0.876,95,87,2307,-0.5414915405976312,-0.5442993979188375,750,2307,0.0001
197,0.875,0.875,95,88,1374,-0.653286788845208,-0.618548939241073,450,1374,0.0001
198,0.875,0.875,95,89,1076,-0.49135211264828343,-0.507797887770244,300,1076,0.0001
199,0.874,0.874,95,90,1301,-0.5257396046200621,-0.5164723407575261,550,1301,0.0001
200,0.873,0.873,96,90,1244,-0.5615336111915062,-0.559790545169133,250,1244,0.0001
201,0.873,0.873,96,91,1177,-0.7021909587500162,-0.693865409955404,150,1177,0.0001
202,0.872,0.872,97,91,1187,-0.5307609885547112,-0.5408691620958407,400,1187,0.0001
203,0.871,0.871,97,92,1203,-0.5810433187593669,-0.5859797199005736,500,1203,0.0001
204,0.871,0.871,97,93,1332,-0.544173383004828,-0.5598453869477746,350,1332,0.0001
205,0.87,0.87,98,93,1239,-0.5549634356544061,-0.5438410941744908,700,1239,0.0001
206,0.87,0.87,98,94,1401,-0.5622709586328418,-0.5636394098665853,0,1401,0.0001
207,0.869,0.869,99,94,1343,-0.46918227477175145,-0.489410453377751,800,1343,0.0001
208,0.868,0.868,99,95,1095,-0.47598283010799136,-0.49012575346430043,250,1095,0.0001
209,0.868,0.868,100,95,1382,-0.6683038413541127,-0.7114861029973794,150,1382,0.0001
210,0.867,0.867,100,96,1740,-0.536257662384852,-0.5397483644178657,650,1740,0.0001
211,0.866,0.866,100,97,4465,-0.24582866287736505,-0.24477468346511624,250,4465,0.0001
212,0.866,0.866,100,98,1144,-0.5448423661995911,-0.5627589127249674,200,1144,0.0001
213,0.865,0.865,100,99,1045,-0.49170740119679185,-0.4888878723856159,800,1045,0.0001
214,0.864,0.864,100,100,1338,-0.509577160566644,-0.5216128539296159,250,1338,0.0001
215,0.864,0.864,101,100,1223,-0.5693890744266025,-0.5756699467767372,50,1223,0.0001
216,0.863,0.863,101,101,1259,-0.6936511485039188,-0.66290688396202,0,1259,0.0001
217,0.863,0.863,101,102,1126,-0.5388704436958308,-0.5323813209836572,50,1126,0.0001
218,0.862,0.862,101,103,1477,-0.6570358033871448,-0.6814493832003297,400,1477,0.0001
219,0.861,0.861,101,104,1400,-0.8888722681074811,-0.8484254246250799,600,1400,0.0001
220,0.861,0.861,102,104,1244,-0.5178071257016607,-0.528627276721893,400,1244,0.0001
221,0.86,0.86,103,104,1061,-0.5728721349029172,-0.6154044483617701,450,1061,0.0001
222,0.859,0.859,104,104,1628,-0.5087052665531459,-0.5089082948543309,0,1628,0.0001
223,0.859,0.859,105,104,1291,-0.46496754381869043,-0.4786137609891743,50,1291,0.0001
224,0.858,0.858,105,105,1122,-0.4811589821383359,-0.47822581301267825,850,1122,0.0001
225,0.858,0.858,105,106,1260,-0.45750720881370077,-0.463031246318614,300,1260,0.0001
226,0.857,0.857,106,106,1639,-0.6076520199032858,-0.5966345917754166,700,1639,0.0001
227,0.856,0.856,106,107,1514,-0.5850888912107947,-0.6028345402640289,250,1514,0.0001
228,0.856,0.856,106,108,1057,-0.4727971637898838,-0.4645635163476527,0,1057,0.0001
229,0.855,0.855,107,108,1429,-0.5592676491964911,-0.5486310902832494,0,1429,0.0001
230,0.854,0.854,107,108,5561,-0.4453940250858864,-0.35091018430551435,250,5561,0.0001
231,0.854,0.854,107,109,1440,-0.5666971826986388,-0.5512576163070316,800,1440,0.0001
232,0.853,0.853,107,110,1286,-0.48123910657134505,-0.4837088150268074,650,1286,0.0001
233,0.852,0.852,108,110,1132,-0.6215517536433871,-0.645521341763987,150,1132,0.0001
234,0.852,0.852,109,110,1395,-0.5123740909239967,-0.5046486194404475,0,1395,0.0001
235,0.851,0.851,110,110,1274,-0.5943973171657806,-0.6144912317599363,500,1274,0.0001
236,0.851,0.851,110,111,1211,-0.5227791489148047,-0.5389281101229852,150,1211,0.0001
237,0.85,0.85,110,112,1292,-0.6437003581205097,-0.6417537155711895,350,1292,0.0001
238,0.849,0.849,110,113,1565,-0.5396228402162426,-0.5378137871794324,0,1565,0.0001
239,0.849,0.849,110,114,1441,-0.507422812840569,-0.5198388637537321,100,1441,0.0001
240,0.848,0.848,111,114,1578,-0.8422229811613792,-0.9184381136724651,150,1578,0.0001
241,0.847,0.847,112,114,1110,-0.5181983693309913,-0.5356768261439501,150,1110,0.0001
242,0.847,0.847,112,115,1251,-0.493934605371634,-0.5116621464673795,150,1251,0.0001
243,0.846,0.846,112,116,1264,-0.5925434131489538,-0.591174459541979,50,1264,0.0001
244,0.845,0.845,113,116,1203,-0.5116005871429093,-0.5283336606242963,450,1203,0.0001
245,0.845,0.845,113,116,5557,-0.17165816390918415,-0.17121110348464302,400,5557,0.0001
246,0.844,0.844,113,117,1098,-0.5449799434593788,-0.5682376874345436,350,1098,0.0001
247,0.844,0.844,113,118,1257,-0.5746460709360425,-0.5789777933276905,350,1257,0.0001
248,0.843,0.843,113,119,1441,-0.5243609528236873,-0.5211900769514644,800,1441,0.0001
249,0.842,0.842,114,119,1195,-0.48179434284749606,-0.5007905124060245,550,1195,0.0001
250,0.842,0.842,115,119,1177,-0.4872285568811447,-0.503977080779783,200,1177,0.0001
251,0.841,0.841,115,119,5562,-0.1657085079693954,-0.16519625438725186,500,5562,0.0001
252,0.84,0.84,116,119,1281,-0.48234255105804336,-0.5017527422077717,300,1281,0.0001
253,0.84,0.84,117,119,1345,-0.5558192880193176,-0.5605364401361094,200,1345,0.0001
254,0.839,0.839,117,119,5554,-0.3066642779295986,-0.3057302186249116,600,5554,0.0001
255,0.839,0.839,117,120,1212,-0.5459648618841947,-0.5645217864277499,50,1212,0.0001
256,0.838,0.838,117,121,1181,-0.492607784838421,-0.48652004970170043,800,1181,0.0001
257,0.837,0.837,117,122,1377,-0.5278307713819324,-0.50993073488539,750,1377,0.0001
258,0.837,0.837,117,123,1299,-0.591109652935363,-0.5612452341040444,750,1299,0.0001
259,0.836,0.836,118,123,1350,-0.5384578363083206,-0.5543705523073835,300,1350,0.0001
260,0.835,0.835,118,124,1230,-0.6692367227038761,-0.675450392265969,200,1230,0.0001
261,0.835,0.835,119,124,1455,-0.560702924095742,-0.5515419019638127,0,1455,0.0001
262,0.834,0.834,119,125,1602,-0.5586057732206192,-0.5501233716151811,0,1602,0.0001
263,0.833,0.833,120,125,1492,-0.5122732832682094,-0.5237602812964588,850,1492,0.0001
264,0.833,0.833,120,125,5554,-0.25956583246690557,-0.265518822135639,150,5554,0.0001
265,0.832,0.832,121,125,1285,-0.4752398272218857,-0.46513212314722147,750,1285,0.0001
266,0.832,0.832,121,126,1365,-1.1069069805200233,-1.0648794120120977,300,1365,0.0001
267,0.831,0.831,122,126,1261,-0.5658566586000215,-0.5601531482976105,800,1261,0.0001
268,0.83,0.83,122,126,5559,-0.8206095088093334,-0.914548228252657,400,5559,0.0001
269,0.83,0.83,122,127,1728,-0.7039975797221667,-0.715054226919947,350,1728,0.0001
270,0.829,0.829,122,128,1130,-0.44646606411136847,-0.4354442802208583,750,1130,0.0001
271,0.828,0.828,123,128,1510,-0.526874275550106,-0.5200362980237865,700,1510,0.0001
272,0.828,0.828,123,129,1145,-0.6040297643871338,-0.6105901380557804,450,1145,0.0001
273,0.827,0.827,123,130,1223,-0.5525866117867001,-0.5558028307182282,200,1223,0.0001
274,0.826,0.826,124,130,1420,-0.6088990769859296,-0.6251247588151126,450,1420,0.0001
275,0.826,0.826,124,131,1069,-0.4974329477291592,-0.4859803076654908,0,1069,0.0001
276,0.825,0.825,125,131,1215,-0.5239639464119608,-0.5376694519592145,600,1215,0.0001
277,0.825,0.825,126,131,1102,-0.4930152365992947,-0.5069988375098072,200,1102,0.0001
278,0.824,0.824,126,131,5563,-0.5740461057203964,-0.5761835932526481,50,5563,0.0001
279,0.823,0.823,127,131,1167,-0.5937562941638687,-0.6107832431162432,0,1167,0.0001
280,0.823,0.823,127,132,1493,-0.4943818261622104,-0.48350741880404013,0,1493,0.0001
281,0.822,0.822,127,132,5565,-0.3440257072646906,-0.34571364622986317,300,5565,0.0001
282,0.821,0.821,127,133,1187,-0.5976387191097793,-0.5629121125289546,0,1187,0.0001
283,0.821,0.821,128,133,1622,-0.5780330341488699,-0.5676854329451047,0,1622,0.0001
284,0.82,0.82,128,134,2172,-0.5963307372251039,-0.5899844297692587,0,2172,0.0001
285,0.82,0.82,129,134,1092,-0.5643609881122308,-0.5788140623950263,400,1092,0.0001
286,0.819,0.819,130,134,1391,-0.571163424579093,-0.5751468971777883,350,1391,0.0001
287,0.818,0.818,130,135,1533,-0.5659946562850233,-0.5821780658736825,200,1533,0.0001
288,0.818,0.818,130,135,5561,-0.2844755170995548,-0.2823055127046098,600,5561,0.0001
289,0.817,0.817,131,135,1240,-0.6010202048483644,-0.6206781526460027,600,1240,0.0001
290,0.816,0.816,132,135,1123,-0.5076942899848531,-0.5221522635957088,100,1123,0.0001
291,0.816,0.816,133,135,1306,-0.48088630077242395,-0.4738292846193967,0,1306,0.0001
